dataset_id,model,val_loss,ndcg
0,fwfm_all,0.5662622451782227,0.6665
1,fwfm_all,0.5654512047767639,0.6667
2,fwfm_all,0.560419499874115,0.6679
3,fwfm_all,0.5707504749298096,0.6668
4,fwfm_all,0.5782047510147095,0.6556
5,fwfm_all,0.5850424766540527,0.6538
6,fwfm_all,0.5883715152740479,0.648
7,fwfm_all,0.5807496905326843,0.6573
8,fwfm_all,0.5784549117088318,0.6663
9,fwfm_all,0.5779378414154053,0.657
